Pontuação: 3, Data: 2025-06-08, Hora: 15:27:16
Pontuação: 192, Data: 2025-06-08, Hora: 15:36:14
Pontuação: 1, Data: 2025-06-08, Hora: 15:39:46
Pontuação: 73, Data: 2025-06-08, Hora: 15:40:48
Pontos: 102, Data: 08-06-2025 15:46:04
Pontos: 43, Data: 08-06-2025 15:48:52
Pontos: 48, Data: 08-06-2025 15:51:42
Pontos: 169, Data: 08-06-2025 16:04:13
Pontos: 1, Data: 08-06-2025 16:07:30
Pontos: 1, Data: 08-06-2025 16:08:06
Pontos: 1, Data: 08-06-2025 16:08:57
Pontos: 49, Data: 08-06-2025 16:09:29
Pontos: 1, Data: 08-06-2025 16:10:20
Pontos: 108, Data: 08-06-2025 16:13:49
Pontos: 31, Data: 08-06-2025 16:14:26
Pontos: 4, Data: 08-06-2025 16:14:53
Pontos: 14, Data: 08-06-2025 17:16:26
Pontos: 25, Data: 08-06-2025 17:16:46
Pontos: 121, Data: 08-06-2025 17:17:18
Pontos: 2, Data: 08-06-2025 17:17:29
Pontos: 4, Data: 08-06-2025 17:17:41
Pontos: 14, Data: 16-06-2025 12:39:58
Pontos: 156, Data: 16-06-2025 12:40:38
Pontos: 3, Data: 16-06-2025 12:46:38
Pontos: 263, Data: 16-06-2025 12:47:49
Pontos: 30, Data: 16-06-2025 12:49:02
Pontos: 53, Data: 16-06-2025 13:58:50
Pontos: 38, Data: 16-06-2025 13:59:33
Pontos: 54, Data: 16-06-2025 14:01:28
Pontos: 73, Data: 16-06-2025 14:04:08
Pontos: 227, Data: 16-06-2025 19:20:12
Pontos: 5, Data: 16-06-2025 19:20:27
Pontos: 8, Data: 17-06-2025 13:35:30
